,player_name,player_url,teams,matches_played,runs_scored,hundreds,fifties,wickets,economy_rate,five_wicket_hauls,player_country,player_image,player_role,player_DOB,player_bat_hand,player_bowl_hand
279,Anand Rajan,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4205,"Deccan Chargers, Sunrisers Hyderabad",9,15,0,0,9,8.23,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,17-04-1987,Right,Right
280,Sreenath Aravind,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4120,Royal Challengers Bangalore,38,59,0,0,45,8.2,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,08-04-1984,Left,Left
281,Bhargav Bhatt,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4040,Punjab Kings,17,6,0,0,12,8.05,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,13-05-1990,Left,Left
282,Travis Birt,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3757,Delhi Capitals,5,75,0,0,0,0.0,0,Australia,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,09-12-1981,Left,Right
283,Aiden Blizzard,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4061,Mumbai Indians,7,120,0,1,0,0.0,0,Australia,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,27-06-1984,Left,Left
284,Unmukt Chand,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4030,"Delhi Capitals, Rajasthan Royals, Mumbai Indians",21,300,0,1,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,26-03-1993,Right,Right
285,Ankeet Chavan,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4092,Rajasthan Royals,13,12,0,0,8,7.89,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,28-10-1985,Left,Left
286,Dan Christian,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3766,"Deccan Chargers, Royal Challengers Bangalore, Rising Pune Supergiant, Delhi Capitals",49,460,0,0,38,8.1,0,Australia,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,04-05-1983,Right,Right
287,Kedar Devdhar,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4207,Deccan Chargers,1,0,0,0,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,WK-Batsman,14-12-1989,Right,Right
288,James Faulkner,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3930,"Pune Warriors India, Punjab Kings, Rajasthan Royals, Gujarat Lions",60,527,0,0,59,8.69,2,Australia,https://h.cricapi.com/img/players/6c8f3cea-9852-4c08-8cb3-5db0f87cc6f3.jpg,Bowling Allrounder,29-04-1990,Right,Left
